,caseorder,customer_id,city,state,county,zip,lat,lng,population,area,timezone,job,children,age,education,employment,income,marital,gender,churn,outage_sec_perweek,email,contacts,yearly_equip_failure,techie,contract,port_modem,tablet,internetservice,phone,multiple,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,paperlessbilling,paymentmethod,tenure,monthlycharge,bandwidth_gb_year,item1,item2,item3,item4,item5,item6,item7,item8,zscoreincome,contract_type_num
0,1,K409198,Point Baker,AK,Prince of Wales-Hyder,99927,56.251,-133.37571,38,Urban,America/Sitka,Environmental health practitioner,0.0,68.0,Master's Degree,Part Time,28561.99,Widowed,Male,No,6.972566093,10,0,1,No,One year,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Credit Card (automatic),6.795512947,171.4497621,904.5361102,5,5,5,3,4,4,3,4,-0.4628804821202122,1
1,2,S120509,West Branch,MI,Ogemaw,48661,44.32893,-84.2408,10446,Urban,America/Detroit,"Programmer, multimedia",1.0,27.0,Regular High School Diploma,Retired,21704.77,Married,Female,Yes,12.01454108,12,0,1,Yes,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Bank Transfer(automatic),1.156680997,242.9480155,800.9827661,3,4,3,3,4,3,4,4,-0.7419254806870741,0
2,3,K191035,Yamhill,OR,Yamhill,97148,45.35589,-123.24657,3735,Urban,America/Los_Angeles,Chief Financial Officer,4.0,50.0,Regular High School Diploma,Student,39936.76222636489,Widowed,Female,No,10.24561565,9,0,1,Yes,Two Year,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Yes,Yes,Credit Card (automatic),15.75414408,159.4403984,2054.706961,4,4,2,4,4,3,3,3,1.1843397656906803e-15,2
3,4,D90850,Del Mar,CA,San Diego,92014,32.96687,-117.24798,13863,Suburban,America/Los_Angeles,Solicitor,1.0,48.0,Doctorate Degree,Retired,18925.23,Married,Male,No,15.20619309,15,2,0,Yes,Two Year,No,No,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,Mailed Check,17.08722662,120.2494934,2164.579412,4,4,4,2,5,4,3,3,-0.8550349821055112,2
4,5,K662701,Needville,TX,Fort Bend,77461,29.38012,-95.80673,11352,Suburban,America/Chicago,Medical illustrator,0.0,83.0,Master's Degree,Student,40074.19,Separated,Male,Yes,8.960316419,16,2,1,No,Month-to-month,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Yes,No,No,Mailed Check,1.670971726,150.7612159,271.4934362,4,4,4,3,4,4,4,5,0.005592431465968069,0
5,6,W303516,Fort Valley,GA,Peach,31030,32.57032,-83.8904,17701,Urban,America/New_York,Chief Technology Officer,3.0,83.0,No Schooling Completed,Full Time,39936.76222636489,Never Married,Female,No,7.814858954,15,3,1,No,One year,Yes,No,None,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Electronic Check,7.000993555,184.4015581,1039.357983,3,3,3,2,4,3,3,3,1.1843397656906803e-15,1
6,7,U335188,Pioneer,TN,Scott,37847,36.4342,-84.27892,2535,Suburban,America/New_York,"Surveyor, hydrographic",0.0,53.27574750830565,Associate's Degree,Full Time,11467.5,Widowed,Male,Yes,11.12909443,10,0,1,Yes,Month-to-month,No,No,DSL,Yes,No,No,No,No,Yes,Yes,Yes,No,Electronic Check,13.23677381,200.0648859,1907.242972,6,5,6,4,1,5,5,5,-1.158516897103432,0
7,8,V538685,Oklahoma City,OK,Oklahoma,73109,35.43313,-97.52463,23144,Suburban,America/Chicago,Sales promotion account executive,2.0,53.27574750830565,Bachelor's Degree,Full Time,26759.64,Married,Female,Yes,7.594838367,16,0,0,Yes,Month-to-month,No,No,DSL,No,No,No,Yes,No,No,No,No,Yes,Mailed Check,0.0,114.7541111,979.6127078,2,2,2,5,2,3,4,5,-0.5362246001690694,0
8,9,M716771,Saint Cloud,FL,Osceola,34771,28.27646,-81.16273,17351,Suburban,America/New_York,Teaching laboratory technician,2.0,49.0,"Some College, Less than 1 Year",Full Time,58634.51,Separated,Prefer not to answer,No,6.637258801,20,2,3,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,No,Yes,Bank Transfer(automatic),8.220686373,118.3668439,1312.874964,5,4,4,3,4,3,4,4,0.7608787527157599,0
9,10,I676080,Cincinnati,OH,Hamilton,45237,39.19296,-84.4523,20193,Rural,America/New_York,Museum education officer,0.0,86.0,GED or Alternative Credential,Full Time,50231.4,Married,Female,No,9.230409493,18,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Mailed Check,3.422086139,163.0052796,508.7637913,2,2,2,2,5,2,3,3,0.41892591790702066,2
10,11,J980369,Little Meadows,PA,Susquehanna,18830,41.95142,-76.10744,555,Urban,America/New_York,"Teacher, special educational needs",7.0,23.0,Regular High School Diploma,Full Time,39936.76222636489,Separated,Female,No,11.83511269,9,0,2,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Mailed Check,19.26726194,177.451599,2728.767869,4,4,4,7,3,3,3,4,1.1843397656906803e-15,0
11,12,E243720,Corozal,PR,Corozal,783,18.3041,-66.32847,33372,Rural,America/Puerto_Rico,Maintenance engineer,2.0,56.0,Bachelor's Degree,Full Time,18342.12,Married,Female,No,5.08282075,17,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,Electronic Check,0.0,148.3640874,1180.588788,4,4,3,4,4,4,3,4,-0.8787638298184799,0
12,13,F139569,Conesville,IA,Muscatine,52739,41.37287,-91.36865,556,Rural,America/Chicago,"Engineer, broadcasting (operations)",0.0,83.0,Master's Degree,Retired,83671.08,Divorced,Male,No,7.265960814,9,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),13.01149229,136.4312394,1196.388018,1,2,1,4,3,2,3,3,1.779707030030639,0
13,14,X44200,East Livermore,ME,Androscoggin,4228,44.43256,-70.11501,0,Urban,America/New_York,Learning disability nurse,5.0,53.27574750830565,No Schooling Completed,Retired,115114.57,Separated,Female,No,6.568343834,14,1,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Bank Transfer(automatic),16.87922024,185.6592942,1948.694497,5,6,5,2,4,5,4,4,3.0592559758114564,2
14,15,H68068,Hillside,IL,Cook,60162,41.86752,-87.90222,8165,Urban,America/Chicago,Automotive engineer,0.0,30.0,Associate's Degree,Full Time,64256.81,Separated,Male,Yes,12.63069124,10,3,0,No,Month-to-month,No,No,DSL,No,Yes,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),10.06019902,160.8055418,0.0,3,3,4,2,3,4,4,2,0.989670405228362,0
15,16,A403906,Saint Germain,WI,Vilas,54558,45.92342,-89.50138,2093,Suburban,America/Chicago,Amenity horticulturist,0.0,39.0,Bachelor's Degree,Full Time,89061.45,Divorced,Male,Yes,9.48221912,13,1,0,No,One year,No,No,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,13.87001293,176.3345094,1840.014467,3,3,3,2,4,3,5,2,1.999060614854351,1
16,17,V847470,Modesto,CA,Stanislaus,95351,37.62326,-120.99637,50079,Urban,America/Los_Angeles,Applications developer,0.0,63.0,"Some College, 1 or More Years, No Degree",Retired,31659.3,Married,Female,Yes,14.42916512,13,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),15.78214958,195.8726039,2070.376729,3,4,4,3,5,4,4,3,-0.3368397740036393,0
17,18,F721878,Parkton,NC,Robeson,28371,34.90636,-78.98944,7249,Rural,America/New_York,Immunologist,0.0,60.0,"9th Grade to 12th Grade, No Diploma",Retired,44142.81,Separated,Male,Yes,10.21790303,16,3,0,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,0.0,203.0695973,882.0985933,2,2,4,3,3,4,3,3,0.17115924455773182,2
18,19,F487435,Oakland,TN,Fayette,38060,35.2091,-89.50332,9463,Rural,America/Chicago,"Engineer, electrical",3.0,61.0,Regular High School Diploma,Full Time,39262.14,Widowed,Female,No,11.10106846,11,1,0,Yes,Two Year,Yes,No,None,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Bank Transfer(automatic),17.10995632,154.0171018,1833.0967,3,4,3,4,3,2,3,5,-0.027452810058472006,2
19,20,B561228,Trafford,AL,Blount,35172,33.84469,-86.6974,3177,Rural,America/Chicago,Broadcast presenter,3.0,23.0,Associate's Degree,Part Time,19494.75,Divorced,Male,Yes,11.08853215,10,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),12.80615845,150.1107392,1954.080809,5,5,5,4,4,4,3,3,-0.8318591604775338,0
20,21,X325271,Kaneville,IL,Kane,60144,41.83594,-88.5206,69,Rural,America/Chicago,Counsellor,4.0,53.27574750830565,Nursery School to 8th Grade,Retired,39624.21,Never Married,Male,No,12.18669792,14,0,3,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),20.45390977,185.096264,2330.319383,2,3,3,2,4,2,3,3,-0.012718876681519891,0
21,22,I282896,Columbus,OH,Franklin,43215,39.96636,-83.01286,14440,Suburban,America/New_York,Geophysical data processor,3.0,30.0,Regular High School Diploma,Retired,39936.76222636489,Divorced,Male,No,6.520830558,18,1,0,No,Two Year,No,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,No,No,Bank Transfer(automatic),2.415991977,127.0317766,594.1054279,5,5,4,4,3,4,3,5,1.1843397656906803e-15,2
22,23,I367206,Mallard,IA,Palo Alto,50562,42.96153,-94.64179,381,Urban,America/Chicago,"Designer, multimedia",0.0,52.0,"9th Grade to 12th Grade, No Diploma",Full Time,27442.03,Widowed,Male,No,9.970974396,16,1,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,6.652298992,125.5623018,713.0633088,3,3,3,2,2,3,5,5,-0.508455691402537,0
23,24,N37182,Baileyville,ME,Washington,4694,45.10333,-67.47223,2193,Urban,America/New_York,Event organiser,2.0,68.0,Bachelor's Degree,Full Time,79699.62,Divorced,Male,No,7.490198816,9,0,0,No,One year,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Electronic Check,8.543717478,150.3295122,945.3802928,4,4,3,5,3,4,4,3,1.6180940075509243,1
24,25,U644626,Williamsburg,OH,Clermont,45176,39.08339,-84.02314,9434,Rural,America/New_York,Equality and diversity officer,3.0,75.0,Regular High School Diploma,Full Time,28520.32,Widowed,Female,Yes,14.54825704,15,1,0,No,Month-to-month,No,Yes,None,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Credit Card (automatic),5.770390256,163.3124055,870.76398,3,3,4,2,4,4,3,4,-0.4645761846192252,0
25,26,A766555,Saint Augustine,FL,St. Johns,32086,29.75675,-81.30311,29568,Suburban,America/New_York,Counsellor,1.0,77.0,GED or Alternative Credential,Full Time,12558.83,Separated,Male,Yes,11.37952059,12,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,No,No,No,No,Bank Transfer(automatic),4.157658837,94.06699355,774.2937069,4,4,4,4,2,4,5,5,-1.1141067457175973,0
26,27,V54032,Tohatchi,NM,McKinley,87325,36.00209,-108.62285,3089,Rural,America/Denver,Psychiatrist,0.0,47.0,Bachelor's Degree,Retired,8762.23,Married,Female,Yes,16.1723942,15,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Mailed Check,10.40566091,222.9597637,1506.446527,5,3,5,3,3,5,4,4,-1.2686040845165492,0
27,28,Z301326,Erie,MI,Monroe,48133,41.7812,-83.48594,5652,Urban,America/Detroit,"Surveyor, commercial/residential",0.0,70.0,Master's Degree,Part Time,43882.72,Widowed,Female,Yes,15.8467065,12,0,0,No,Month-to-month,Yes,No,None,No,No,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,1.392421597,141.092117,419.0508708,2,2,3,4,4,2,2,2,0.16057524496646097,0
28,29,J887250,Moretown,VT,Washington,5660,44.24718,-72.74137,1716,Urban,America/New_York,Civil Service administrator,3.0,53.27574750830565,Regular High School Diploma,Full Time,39936.76222636489,Separated,Female,Yes,43.92705189,13,2,0,Yes,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Bank Transfer(automatic),0.0,230.6237646,1259.415493,3,4,3,3,2,4,4,2,1.1843397656906803e-15,1
29,30,Z686376,Silver Spring,MD,Montgomery,20902,39.04373,-77.04224,52484,Suburban,America/New_York,"Radiographer, diagnostic",4.0,69.0,Bachelor's Degree,Student,39936.76222636489,Never Married,Male,Yes,12.35437248,18,1,0,No,Two Year,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),5.425864884,259.3879183,1745.125956,4,4,4,3,2,5,5,4,1.1843397656906803e-15,2
30,31,L357432,Whitesboro,NY,Oneida,13492,43.11988,-75.32875,11268,Urban,America/New_York,Air traffic controller,9.0,45.0,No Schooling Completed,Part Time,43383.54,Married,Male,No,7.472844182,14,0,0,No,Two Year,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,Yes,Credit Card (automatic),11.08287797,230.9648914,1795.465729,3,2,1,5,3,3,3,2,0.140261811478166,2
31,32,V899967,Sherwood,OH,Defiance,43556,41.30608,-84.56989,1765,Rural,America/New_York,Dietitian,0.0,40.0,"9th Grade to 12th Grade, No Diploma",Unemployed,21793.88,Never Married,Female,No,4.776157747,13,2,0,No,Two Year,No,Yes,None,Yes,Yes,No,Yes,No,No,No,No,No,Electronic Check,0.0,147.8152871,492.4771472,2,3,4,3,3,2,4,3,-0.7382992735911529,2
32,33,G571225,Pe Ell,WA,Lewis,98572,46.5512,-123.32437,680,Rural,America/Los_Angeles,"Therapist, occupational",6.0,82.0,GED or Alternative Credential,Retired,51960.51,Divorced,Female,Yes,8.913416857,9,0,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Electronic Check,4.727388465,230.2438882,1013.993166,4,4,4,5,2,5,3,5,0.48928963636318024,0
33,34,S381541,Seney,MI,Schoolcraft,49883,46.43517,-86.01334,136,Rural,America/Detroit,Building services engineer,5.0,53.27574750830565,Regular High School Diploma,Full Time,39936.76222636489,Separated,Male,Yes,11.99819427,8,1,1,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Electronic Check,20.89923386,175.8247451,0.0,5,5,4,3,5,3,4,1,1.1843397656906803e-15,0
34,35,R195593,Chatsworth,IL,Livingston,60921,40.73772,-88.28785,1517,Urban,America/Chicago,Information officer,0.0,53.27574750830565,Bachelor's Degree,Full Time,11211.59,Widowed,Male,Yes,5.312361826,15,1,0,No,One year,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,3.471329958,267.4362279,1081.814362,6,5,5,5,2,6,5,5,-1.1689307974279435,1
